Timestamp_UTC,Timestamp_Readable,Frame Delay (s),FPS,Accuracy
1747516943.871871,2025-05-18 03:22:23.871,0.049427,20.23,0.7418
1747516943.8819082,2025-05-18 03:22:23.881,0.010037,99.63,0.7418
1747516943.938003,2025-05-18 03:22:23.938,0.056095,17.83,0.0000
1747516943.949748,2025-05-18 03:22:23.949,0.011745,85.14,0.0000
1747516944.002766,2025-05-18 03:22:24.002,0.053018,18.86,0.0000
1747516944.0138454,2025-05-18 03:22:24.013,0.011080,90.26,0.0000
1747516944.0844064,2025-05-18 03:22:24.084,0.070561,14.17,0.0000
1747516944.0947154,2025-05-18 03:22:24.094,0.010309,97.00,0.0000
1747516944.149763,2025-05-18 03:22:24.149,0.055048,18.17,0.0000
1747516944.160537,2025-05-18 03:22:24.160,0.010774,92.82,0.0000
1747516944.209116,2025-05-18 03:22:24.209,0.048579,20.59,0.0000
1747516944.22043,2025-05-18 03:22:24.220,0.011314,88.39,0.0000
1747516944.2729902,2025-05-18 03:22:24.272,0.052560,19.03,0.6708
1747516944.2833123,2025-05-18 03:22:24.283,0.010322,96.88,0.6708
1747516944.3397002,2025-05-18 03:22:24.339,0.056388,17.73,0.0000
1747516944.3512576,2025-05-18 03:22:24.351,0.011557,86.53,0.0000
1747516944.4045665,2025-05-18 03:22:24.404,0.053309,18.76,0.0000
1747516944.4140215,2025-05-18 03:22:24.414,0.009455,105.76,0.0000
1747516944.482879,2025-05-18 03:22:24.482,0.068857,14.52,0.0000
1747516944.4925025,2025-05-18 03:22:24.492,0.009624,103.91,0.0000
1747516944.549962,2025-05-18 03:22:24.549,0.057460,17.40,0.0000
